Date,Management Unit,County,Sex,Age,Status,Weight,Length,,,
1/23/88,Powers,Josephine,M,2,A,155,84,,,
1/24/88,Rogue,Jackson,F,2,B,78,,,,
1/24/88,Dixon,Douglas,F,6,C,,73,,,
1/25/88,Indigo,Lane,F,4,C,,74,,,
1/30/88,McKenzie,Lane,F,4,A,90,75,,,
1/31/88,Dixon,Jackson,M,2,B,104,80,,,
2/21/88,Powers,Douglas,M,7,A,130,85,,,
2/26/88,Chetco,Curry,M,1,A,104,77,,,
2/29/88,Applegate,Josephine,M,4,A,85,80,,,
3/25/88,Dixon,Douglas,M,1,A,100,71,,,
3/27/88,Applegate,Jackson,M,1,A,117,75,,,
4/29/88,Applegate,Jackson,F,2,A,88,72,,,
6/7/88,McKenzie,Lane,M,0,A,52,68,,,
6/19/88,Siuslaw,Lane,M,1,A,83,,,,
6/26/88,Applegate,Josephine,F,1,A,35,59,,,
8/6/88,Dixon,Douglas,M,1,A,95,84,,,
8/19/88,Rogue,Jackson,F,2,A,80,82,,,
8/30/88,Mt Emily,Union,M,1,A,92,73,,,
9/8/88,Dixon,Douglas,F,1,A,55,69,,,
9/9/88,Dixon,Douglas,M,1,A,63,72,,,
11/4/88,Keating,Baker,M,1,A,100,,,,
11/18/88,McKenzie,Lane,F,2,C,,78,,,
11/19/88,McKenzie,Lane,M,4,A,133,86,,,
11/25/88,McKenzie,Lane,M,4,A,146,89,,,
11/28/88,Rogue,Jackson,M,2,C,,79,,,
12/1/88,Wenaha,Union,F,1,A,60,67,,,
12/1/88,Wenaha,Union,F,2,A,87,74,,,
12/1/88,Lookout Mtn,Baker,M,2,A,100,75,,,
12/1/88,Mt Emily,Union,M,4,A,136,78,,,
12/1/88,Wenaha,Wallowa,M,10,A,160,86,,,
12/2/88,Whitehorse,Malheur,F,1,A,88,71,,,
12/2/88,Minam,Wallowa,M,3,A,103,71,,,
12/2/88,Sled Springs,Wallowa,M,1,C,,72,,,
12/2/88,Minam,Wallowa,F,3,A,80,74,,,
12/2/88,Minam,Wallowa,F,5,A,98,80,,,
12/3/88,Lookout Mtn,Baker,M,2,C,,72,,,
12/3/88,Snake River,Wallowa,F,1,A,78,76,,,
12/3/88,Chesnimnus,Wallowa,M,3,A,122,79,,,
12/3/88,Keating,Union,M,2,A,116,80,,,
