Date,Management Unit,County,Sex,Age,Status,Weight,Length,,,
1/14/96,Melrose,Douglas,F,2,A,87,,,,
1/17/96,Imnaha,Wallowa,F,9,A,85,72,,,
1/26/96,Siuslaw,Lane,F,1,A,80,73,,,
1/26/96,Siuslaw,Lane,M,2,A,95,74,,,
1/27/96,McKenzie,Lane,M,3,A,145,87,,,
2/3/96,Keating,Baker,F,6,C,,81,,,
2/4/96,Santiam,Clackamas,M,2,A,132,85,,,
2/4/96,Grizzly,Jefferson,M,5,A,135,88,,,
2/5/96,Mt Emily,Union,M,2,A,94,82,,,
2/6/96,Minam,Wallowa,F,1,A,66,,,,
2/20/96,Willamette,Clackamas,M,2,A,88,84,,,
2/22/96,Interstate,Lake,M,4,A,145,88,,,
2/27/96,Interstate,Klamath,M,5,C,,78,,,
2/27/96,Melrose,Douglas,M,4,A,112,82,,,
2/29/96,Rogue,Jackson,M,2,A,118,76,,,
2/29/96,Interstate,Lake,F,9,A,97,80,,,
3/3/96,Melrose,Douglas,F,2,A,68,69,,,
3/6/96,Metolius,Deschutes,M,3,A,95,83,,,
3/7/96,Siuslaw,Douglas,M,2,A,115,77,,,
3/9/96,Melrose,Douglas,F,2,C,,72,,,
3/11/96,Interstate,Lake,M,4,A,156,73,,,
3/12/96,Sixes,Curry,M,4,A,136,79,,,
3/15/96,Mt Emily,Union,M,2,A,105,84,,,
3/18/96,Starkey,Union,M,2,A,100,75,,,
3/22/96,Sixes,Curry,F,4,A,83,71,,,
3/22/96,Rogue,Jackson,M,2,A,109,,,,
3/30/96,Mt Emily,Umatilla,M,3,C,,84,,,
4/2/96,Chetco,Curry,M,2,A,130,84,,,
4/6/96,White River,Wasco,F,2,A,78,72,,,
4/7/96,Chetco,Curry,F,1,A,68,68,,,
4/10/96,Sixes,Curry,M,1,A,80,72,,,
4/17/96,Dixon,Douglas,F,5,A,50,72,,,
4/20/96,Applegate,Josephine,F,1,A,46,71,,,
4/25/96,Tioga,Coos,M,4,A,130,83,,,
5/1/96,Dixon,Douglas,M,0,A,35,,,,
5/4/96,Dixon,Douglas,M,2,A,110,80,,,
5/5/96,Melrose,Douglas,M,0,A,48,68,,,
5/5/96,Mt Emily,Union,M,4,A,120,72,,,
5/11/96,Keno,Klamath,M,3,A,75,75,,,
5/11/96,Applegate,Josephine,M,3,A,120,87,,,
5/17/96,Dixon,Douglas,F,1,A,43,58,,,
5/18/96,Dixon,Douglas,F,2,A,85,71,,,
5/20/96,Siuslaw,Douglas,M,3,A,145,,,,
5/23/96,Rogue,Jackson,M,3,A,122,86,,,
5/26/96,Chesnimnus,Wallowa,M,6,C,,83,,,
5/31/96,Rogue,Jackson,M,4,A,132,82,,,
6/5/96,Siuslaw,Douglas,M,1,A,82,,,,
6/28/96,Sixes,Curry,F,1,A,65,73,,,
6/30/96,Indigo,Lane,F,0,A,20,44,,,
6/30/96,White River,Wasco,F,2,B,65,68,,,
7/2/96,Melrose,Douglas,M,3,A,134,83,,,
7/14/96,White River,Wasco,F,1,A,60,68,,,
8/13/96,Rogue,Jackson,F,1,A,63,71,,,
8/15/96,Melrose,Douglas,M,1,A,74,74,,,
8/20/96,Santiam,Clackamas,F,3,B,92,73,,,
8/22/96,Siuslaw,Douglas,M,1,A,65,69,,,
8/24/96,Ochoco,Crook,M,11,C,,88,,,
9/4/96,Melrose,Douglas,F,1,A,59,74,,,
9/7/96,Evans Creek,Douglas,M,6,C,,82,,,
9/11/96,Chetco,Curry,M,0,A,25,,,,
9/11/96,Chetco,Curry,M,0,A,27,,,,
9/13/96,Siuslaw,Lane,M,6,A,125,94,,,
9/13/96,Chesnimnus,Wallowa,M,5,A,136,,,,
9/17/96,Dixon,Douglas,F,1,A,90,78,,,
9/19/96,Melrose,Douglas,F,1,A,67,76,,,
9/20/96,Rogue,Jackson,M,1,A,107,83,,,
9/22/96,Grizzly,Crook,F,1,C,,85,,,
9/23/96,Melrose,Douglas,M,2,A,108,83,,,
9/28/96,Grizzly,Jefferson,F,0,A,55,60,,,
9/28/96,Chetco,Curry,M,1,C,,60,,,
9/28/96,Applegate,Jackson,F,1,A,62,69,,,
9/28/96,Tioga,Douglas,M,9,A,145,89,,,
9/29/96,Chetco,Curry,F,12,A,81,72,,,
9/29/96,Catherine Creek,Union,M,2,C,,73,,,
9/29/96,Willamette,Clackamas,M,5,A,128,80,,,
9/30/96,Pine Creek,Baker,M,3,C,,88,,,
10/1/96,Evans Creek,Josephine,F,0,A,26,49,,,
10/1/96,Evans Creek,Josephine,M,0,A,27,50,,,
10/1/96,Melrose,Douglas,F,0,A,25,52,,,
10/1/96,Evans Creek,Josephine,F,3,A,72,70,,,
10/2/96,Alsea,Lane,F,1,B,50,66,,,
10/3/96,McKenzie,Lane,M,2,C,,79,,,
10/5/96,Evans Creek,Jackson,M,0,A,62,69,,,
10/6/96,Melrose,Douglas,F,1,C,,78,,,
10/12/96,Sixes,Curry,F,2,C,,72,,,
10/12/96,Chetco,Curry,M,4,C,,84,,,
10/15/96,Evans Creek,Douglas,M,5,C,,85,,,
10/16/96,Murderers Creek,Grant,F,7,A,116,79,,,
10/16/96,Rogue,Jackson,M,4,A,123,83,,,
10/18/96,Ochoco,Wheeler,M,7,C,,85,,,
10/19/96,Santiam,Linn,F,2,C,,51,,,
10/22/96,Metolius,Jefferson,F,3,A,83,59,,,
10/23/96,Grizzly,Crook,M,7,A,150,86,,,
10/28/96,Siuslaw,Douglas,F,2,A,78,,,,
10/29/96,Melrose,Douglas,F,0,A,62,70,,,
10/29/96,Melrose,Douglas,M,1,A,93,77,,,
11/2/96,Rogue,Jackson,M,2,A,102,82,,,
11/2/96,Paulina,Deschutes,M,5,A,146,85,,,
11/2/96,Murderers Creek,Grant,M,8,A,175,90,,,
11/6/96,Dixon,Douglas,M,0,A,5,33,,,
11/8/96,Grizzly,Crook,F,8,A,105,81,,,
11/23/96,Sled Springs,Wallowa,M,2,A,110,76,,,
11/24/96,Keating,Baker,F,6,A,89,72,,,
12/4/96,Powers,Coos,F,1,A,100,71,,,
12/4/96,Grizzly,Jefferson,M,6,A,158,88,,,
12/19/96,Sprague,Klamath,M,1,A,125,80,,,
12/20/96,Fossil,Wheeler,M,5,C,,92,,,
12/22/96,Rogue,Jackson,M,3,A,141,84,,,
1/4/97,White River,Wasco,M,2,A,116,82,,,
1/4/97,Maury,Crook,M,9,C,,97,,,
1/18/97,Wenaha,Union,M,0,A,38,53,,,
1/22/97,Ukiah,Umatilla,F,10,C,,85,,,
1/22/97,Silvies,Grant,M,4,B,120,,,,
1/22/97,Ochoco,Wheeler,M,7,A,130,,,,
1/24/97,Chetco,Curry,M,0,B,38,60,,,
1/26/97,Northside,Grant,F,18,A,90,76,,,
1/27/97,Malheur River,Harney,F,2,A,92,76,,,
1/28/97,Warner,Lake,M,7,A,148,87,,,
1/30/97,Minam,Wallowa,M,5,A,144,,,,
2/8/97,Siuslaw,Lane,F,2,A,80,69,,,
2/24/97,Murderers Creek,Grant,M,6,A,130,84,,,
2/27/97,Melrose,Douglas,M,2,A,100,81,,,
2/27/97,Tioga,Douglas,M,7,A,130,83,,,
3/12/97,White River,Wasco,M,3,A,125,,,,
3/18/97,Mt Emily,Umatilla,F,1,A,80,76,,,
3/24/97,McKenzie,Lane,M,4,A,145,85,,,
3/28/97,Melrose,Douglas,F,1,A,45,71,,,
4/1/97,Melrose,Douglas,F,0,A,30,49,,,
4/1/97,Melrose,Douglas,F,4,A,77,69,,,
4/1/97,Melrose,Douglas,F,1,A,67,70,,,
4/1/97,Melrose,Douglas,F,5,A,90,78,,,
4/2/97,Melrose,Douglas,M,0,A,25,54,,,
4/3/97,Melrose,Douglas,F,1,A,61,75,,,
4/4/97,Melrose,Douglas,F,0,A,22,48,,,
4/4/97,Santiam,Clackamas,F,2,A,82,72,,,
4/11/97,Melrose,Douglas,F,3,A,82,72,,,
4/11/97,Melrose,Douglas,M,1,A,84,76,,,
4/21/97,Hood,Hood River,M,1,A,120,86,,,
4/25/97,Tioga,Douglas,F,1,A,62,71,,,
4/25/97,Tioga,Douglas,F,6,A,78,77,,,
4/30/97,White River,Wasco,F,1,A,70,74,,,
5/1/97,Dixon,Douglas,F,2,A,79,79,,,
5/6/97,Powers,Coos,M,5,A,130,,,,
5/24/97,Tioga,Douglas,F,0,A,65,64,,,
5/28/97,Keno,Klamath,M,0,A,34,60,,,
6/2/97,Walla Walla,Umatilla,M,6,A,104,,,,
6/4/97,Sled Springs,Wallowa,M,5,A,160,,,,
6/10/97,Sixes,Coos,F,1,A,89,60,,,
6/10/97,Trask,Tillamook,M,6,A,158,82,,,
6/16/97,Applegate,Jackson,M,1,A,59,69,,,
6/30/97,Owyhee,Malheur,F,2,A,55,,,,
7/27/97,Mt Emily,Umatilla,M,5,A,116,73,,,
8/3/97,Chetco,Curry,M,1,A,60,61,,,
8/11/97,Sled Springs,Wallowa,F,7,A,77,73,,,
8/13/97,Ukiah,Umatilla,F,8,C,,77,,,
8/17/97,Chetco,Curry,M,4,A,135,78,,,
8/30/97,Siuslaw,Lane,M,4,A,150,91,,,
8/31/97,Applegate,Jackson,F,2,A,103,81,,,
9/2/97,Mt Emily,Union,M,1,A,53,68,,,
9/6/97,Santiam,Linn,M,4,B,121,88,,,
9/11/97,Applegate,Jackson,M,2,A,109,86,,,
9/17/97,Catherine Creek,Union,M,5,A,130,80,,,
9/25/97,Santiam,Linn,F,0,A,30,,,,
9/26/97,White River,Wasco,F,0,A,32,52,,,
9/27/97,Applegate,Jackson,F,1,A,53,69,,,
10/4/97,Santiam,Linn,F,1,A,76,74,,,
10/4/97,Keno,Klamath,M,8,C,,74,,,
10/4/97,Imnaha,Wallowa,F,7,C,,86,,,
10/5/97,Applegate,Jackson,F,2,A,75,73,,,
10/9/97,Melrose,Douglas,M,2,B,117,83,,,
10/10/97,Sixes,Curry,F,9,A,80,,,,
10/11/97,Dixon,Jackson,F,4,A,80,67,,,
10/11/97,Alsea,Lane,F,2,A,80,75,,,
10/11/97,Wenaha,Union,M,4,A,135,87,,,
10/11/97,Northside,Grant,F,1,C,,90,,,
10/12/97,McKenzie,Lane,F,2,B,,72,,,
10/12/97,Lookout Mtn,Baker,M,6,A,134,78,,,
10/12/97,Melrose,Douglas,M,3,A,130,81,,,
10/15/97,White River,Wasco,F,1,C,,76,,,
10/15/97,Mt Emily,Union,F,1,A,84,,,,
10/17/97,Rogue,Jackson,F,2,A,88,77,,,
10/19/97,Powers,Douglas,M,2,A,140,82,,,
10/20/97,Chetco,Curry,F,2,A,80,74,,,
10/22/97,Santiam,Linn,F,4,A,76,74,,,
10/22/97,Melrose,Douglas,M,1,A,82,79,,,
10/22/97,Minam,Wallowa,M,7,C,,94,,,
10/24/97,Sixes,Coos,M,1,A,,72,,,
10/25/97,McKenzie,Linn,F,1,A,86,89,,,
10/26/97,Evans Creek,Douglas,F,1,C,,76,,,
10/27/97,Santiam,Clackamas,F,1,C,,78,,,
10/28/97,Melrose,Douglas,M,2,A,112,82,,,
10/29/97,Silvies,Grant,M,4,A,135,85,,,
10/31/97,Klamath Falls,Klamath,M,2,C,,75,,,
11/2/97,Ochoco,Wheeler,F,5,C,,78,,,
11/2/97,Ukiah,Umatilla,M,7,C,,94,,,
11/15/97,Walla Walla,Umatilla,F,1,A,66,66,,,
11/21/97,Applegate,Jackson,M,2,A,96,79,,,
11/27/97,Rogue,Jackson,F,2,A,97,72,,,
11/27/97,Trask,Washington,M,2,C,,95,,,
11/29/97,Santiam,Clackamas,M,3,C,,92,,,
11/30/97,Keno,Klamath,M,8,A,136,81,,,
12/2/97,Melrose,Douglas,M,2,A,102,83,,,
12/7/97,Powers,Curry,F,8,A,64,74,,,
12/7/97,Santiam,Clackamas,M,1,C,,96,,,
12/9/97,Heppner,Morrow,M,10,A,150,81,,,
12/10/97,Siuslaw,Douglas,M,1,A,73,79,,,
12/12/97,Melrose,Douglas,M,2,A,142,84,,,
12/17/97,Santiam,Linn,M,2,A,128,85,,,
12/21/97,Rogue,Jackson,M,6,A,155,84,,,
12/24/97,Keno,Klamath,F,4,C,,76,,,
12/24/97,Tioga,Douglas,M,5,A,124,80,,,
12/26/97,Mt Emily,Union,M,2,A,108,76,,,
12/29/97,White River,Wasco,M,2,A,135,86,,,
12/29/97,White River,Wasco,M,1,A,135,87,,,
12/30/97,Siuslaw,Lane,F,2,A,90,74,,,
12/30/97,Sumpter,Baker,M,4,A,135,91,,,
12/31/97,Applegate,Jackson,M,2,A,102,73,,,
12/31/97,White River,Wasco,M,3,A,121,83,,,
1/2/98,Siuslaw,Lane,M,1,A,75,73,,,
1/3/98,Mt Emily,Umatilla,M,4,C,,96,,,
1/4/98,Murderers Creek,Grant,M,0,A,30,48,,,
1/4/98,Upper Deschutes,Deschutes,M,2,C,,89,,,
1/7/98,White River,Wasco,F,1,B,,78,,,
1/7/98,Santiam,Marion,F,5,A,82,81,,,
1/8/98,Melrose,Douglas,F,10,A,90,75,,,
1/9/98,Santiam,Clackamas,M,1,A,117,85,,,
1/14/98,Chetco,Curry,M,0,A,49,62,,,
1/15/98,Siuslaw,Douglas,M,1,A,78,74,,,
1/15/98,Melrose,Douglas,M,1,A,72,78,,,
1/22/98,Owyhee,Malheur,F,1,A,55,77,,,
1/29/98,Dixon,Douglas,M,1,A,100,81,,,
2/3/98,Upper Deschutes,Deschutes,M,0,A,43,64,,,
2/3/98,Malheur River,Harney,M,2,A,140,83,,,
2/4/98,Siuslaw,Lane,F,3,A,77,75,,,
2/5/98,Klamath Falls,Klamath,F,2,A,95,72,,,
2/8/98,Desolation,Grant,F,0,A,50,65,,,
2/13/98,Steens Mtn,Harney,M,4,C,,79,,,
2/16/98,Melrose,Douglas,F,0,B,38,65,,,
2/16/98,Melrose,Douglas,F,0,B,45,72,,,
2/20/98,Melrose,Douglas,F,7,A,75,73,,,
2/22/98,White River,Wasco,M,3,B,115,84,,,
2/22/98,Murderers Creek,Grant,M,10,A,162,,,,
2/27/98,Warner,Lake,F,5,A,101,76,,,
3/5/98,Sixes,Curry,M,3,A,135,73,,,
3/5/98,Murderers Creek,Grant,M,2,A,165,83,,,
3/9/98,Sled Springs,Wallowa,M,6,A,126,,,,
3/15/98,Melrose,Douglas,M,4,A,135,86,,,
3/18/98,Siuslaw,Lane,M,3,A,116,82,,,
3/24/98,Tioga,Douglas,F,15,A,95,76,,,
3/27/98,Tioga,Douglas,M,1,A,70,71,,,
3/27/98,Ochoco,Crook,F,6,C,,90,,,
3/29/98,Willamette,Multnomah,F,1,A,37,63,,,
3/31/98,Melrose,Douglas,M,0,A,43,58,,,
4/13/98,Indigo,Lane,M,4,A,130,80,,,
4/29/98,Sixes,Curry,F,2,A,83,68,,,
5/1/98,Rogue,Jackson,M,0,A,26,54,,,
5/2/98,Applegate,Jackson,M,3,A,145,82,,,
5/5/98,Sixes,Curry,M,1,A,75,65,,,
5/15/98,Siuslaw,Douglas,M,0,A,30,48,,,
5/20/98,Dixon,Douglas,M,4,A,134,87,,,
5/21/98,Owyhee,Malheur,M,4,A,150,88,,,
5/23/98,Sixes,Coos,F,0,A,30,48,,,
5/23/98,Sixes,Coos,F,0,A,28,49,,,
5/31/98,Evans Creek,Jackson,M,3,A,129,85,,,
6/10/98,Melrose,Douglas,F,1,A,70,74,,,
6/14/98,Mt Emily,Umatilla,F,3,A,90,72,,,
6/15/98,Steens Mtn,Harney,M,1,A,77,70,,,
7/2/98,Dixon,Douglas,F,3,A,68,73,,,
7/17/98,Siuslaw,Lane,M,1,A,88,76,,,
7/22/98,Walla Walla,Umatilla,M,1,A,70,67,,,
7/22/98,Melrose,Douglas,F,3,B,58,72,,,
7/30/98,Lookout Mtn,Baker,F,10,A,95,73,,,
8/4/98,Melrose,Douglas,M,2,A,112,72,,,
8/5/98,Melrose,Douglas,M,3,A,124,84,,,
8/15/98,Ukiah,Umatilla,M,2,A,130,,,,
8/24/98,Chetco,Curry,F,4,A,80,72,,,
8/24/98,Minam,Wallowa,M,1,A,50,,,,
8/28/98,Chetco,Curry,F,1,A,,72,,,
8/30/98,White River,Wasco,F,0,A,50,62,,,
8/30/98,Applegate,Jackson,M,2,B,92,74,,,
9/2/98,Catherine Creek,Union,F,0,A,39,65,,,
9/3/98,Sled Springs,Wallowa,F,3,A,70,75,,,
9/3/98,Beulah,Baker,M,8,A,148,88,,,
9/7/98,Rogue,Jackson,F,1,B,55,76,,,
9/9/98,Tioga,Douglas,M,7,C,,90,,,
9/13/98,Santiam,Marion,M,2,B,101,80,,,
9/14/98,Keating,Union,F,1,A,75,68,,,
9/14/98,White River,Wasco,F,6,C,,78,,,
9/18/98,Keno,Klamath,F,2,A,80,79,,,
9/19/98,Mt Emily,Umatilla,F,2,A,81,73,,,
9/19/98,Steens Mtn,Harney,F,1,C,,75,,,
9/19/98,Applegate,Jackson,M,4,C,,75,,,
9/19/98,Keno,Klamath,F,9,A,80,82,,,
9/19/98,Siuslaw,Douglas,M,6,A,180,88,,,
9/20/98,Interstate,Lake,F,4,A,90,81,,,
9/22/98,Indigo,Lane,F,2,B,95,79,,,
9/24/98,Evans Creek,Josephine,M,3,A,135,89,,,
9/25/98,Applegate,Josephine,M,1,A,78,,,,
9/26/98,Hood,Hood River,M,2,A,100,77,,,
9/26/98,Wenaha,Wallowa,M,6,C,,80,,,
9/28/98,Evans Creek,Douglas,M,2,A,100,79,,,
9/30/98,Evans Creek,Douglas,M,2,B,84,81,,,
10/1/98,Mt Emily,Umatilla,M,1,A,,70,,,
10/2/98,Chetco,Curry,F,7,A,83,73,,,
10/3/98,Ochoco,Crook,F,1,A,,68,,,
10/3/98,Beulah,Harney,M,1,A,111,,,,
10/4/98,Rogue,Jackson,F,11,B,88,76,,,
10/5/98,Sled Springs,Wallowa,M,2,A,,66,,,
10/5/98,White River,Wasco,F,4,A,92,86,,,
10/6/98,Owyhee,Malheur,M,2,B,100,82,,,
10/7/98,Melrose,Douglas,F,1,A,62,69,,,
10/7/98,Melrose,Douglas,F,5,A,72,71,,,
10/7/98,Sled Springs,Wallowa,F,10,A,78,73,,,
10/10/98,Evans Creek,Jackson,M,0,A,21,43,,,
10/10/98,McKenzie,Lane,F,2,C,,64,,,
10/10/98,Alsea,Lincoln,M,2,C,,91,,,
10/11/98,Sixes,Coos,F,1,A,74,69,,,
10/12/98,Powers,Douglas,F,2,A,78,74,,,
10/15/98,Rogue,Jackson,F,5,A,66,72,,,
10/17/98,Applegate,Jackson,F,4,B,,84,,,
10/17/98,Siuslaw,Lane,M,1,C,,89,,,
10/18/98,Metolius,Jefferson,M,0,C,,50,,,
10/21/98,Sled Springs,Wallowa,M,5,A,97,,,,
10/22/98,Upper Deschutes,Deschutes,F,1,A,60,75,,,
10/25/98,Catherine Creek,Union,M,1,A,68,63,,,
10/25/98,Sixes,Curry,M,3,A,165,92,,,
10/26/98,Evans Creek,Josephine,F,3,B,,72,,,
10/27/98,Owyhee,Malheur,F,1,A,75,,,,
10/28/98,Starkey,Union,F,2,A,74,74,,,
10/29/98,Wenaha,Wallowa,F,5,C,,72,,,
10/29/98,Rogue,Jackson,M,1,A,77,74,,,
10/30/98,Ukiah,Umatilla,M,6,A,130,84,,,
10/31/98,Maury,Crook,F,6,A,110,80,,,
11/1/98,Ukiah,Umatilla,M,1,C,,76,,,
11/2/98,Melrose,Douglas,F,1,A,64,70,,,
11/7/98,Mt Emily,Umatilla,M,5,A,152,80,,,
11/7/98,Santiam,Linn,M,2,A,105,,,,
11/9/98,Sprague,Klamath,F,4,A,148,90,,,
11/9/98,Murderers Creek,Grant,F,1,A,65,,,,
11/11/98,Sumpter,Baker,M,0,A,15,36,,,
11/11/98,Melrose,Douglas,M,1,A,82,72,,,
11/14/98,Sixes,Curry,F,3,A,90,72,,,
11/17/98,Powers,Coos,M,2,A,152,89,,,
11/18/98,Fort Rock,Klamath,M,3,A,125,75,,,
11/20/98,Maupin,Wasco,M,0,A,40,59,,,
11/22/98,Malheur River,Harney,F,1,C,,72,,,
11/22/98,Siuslaw,Lane,F,8,A,90,74,,,
11/22/98,Sixes,Coos,M,3,A,120,84,,,
11/30/98,Mt Emily,Union,M,3,B,,79,,,
11/30/98,Paulina,Deschutes,M,1,A,115,82,,,
12/5/98,Sumpter,Baker,F,4,A,104,76,,,
12/5/98,Lookout Mtn,Baker,M,2,B,120,78,,,
12/5/98,Catherine Creek,Union,M,5,B,188,87,,,
12/5/98,Sled Springs,Wallowa,M,3,C,,89,,,
12/6/98,Dixon,Douglas,F,2,B,73,75,,,
12/9/98,Pine Creek,Baker,M,1,A,98,69,,,
12/9/98,Pine Creek,Baker,M,2,A,113,74,,,
12/13/98,Ukiah,Umatilla,F,0,A,22,49,,,
12/16/98,Hood,Hood River,M,0,C,,69,,,
12/19/98,Catherine Creek,Union,M,5,A,150,80,,,
12/21/98,Sixes,Curry,M,1,A,101,73,,,
12/21/98,Starkey,Union,F,5,A,110,78,,,
12/21/98,Imnaha,Wallowa,M,4,A,,78,,,
12/23/98,Melrose,Douglas,M,2,A,95,76,,,
12/26/98,Catherine Creek,Union,M,5,A,122,82,,,
12/26/98,Fossil,Wheeler,M,5,A,145,84,,,
12/27/98,Sumpter,Baker,M,2,A,105,83,,,
12/30/98,Warner,Lake,F,1,A,66,63,,,
1/2/99,Klamath Falls,Klamath,F,2,A,88,83,,,
1/4/99,Sumpter,Baker,F,0,A,30,28,,,
1/8/99,Interstate,Lake,M,10,A,83,83,,,
1/9/99,McKenzie,Linn,M,2,A,100,79,,,
1/16/99,Catherine Creek,Union,F,6,A,100,78,,,
1/17/99,White River,Wasco,F,0,A,43,57,,,
1/19/99,Mt Emily,Union,F,2,A,76,69,,,
1/19/99,Pine Creek,Baker,F,5,A,80,72,,,
1/20/99,Rogue,Jackson,F,3,C,,76,,,
1/23/99,Applegate,Jackson,M,2,C,,76,,,
1/23/99,Santiam,Linn,M,3,A,129,78,,,
1/24/99,Klamath Falls,Klamath,F,2,A,80,83,,,
1/24/99,Santiam,Clackamas,M,5,A,130,85,,,
1/24/99,Powers,Coos,M,2,B,147,,,,
1/25/99,Evans Creek,Jackson,F,0,A,16,47,,,
1/27/99,Interstate,Lake,M,2,A,117,83,,,
1/29/99,Lookout Mtn,Baker,M,4,A,110,83,,,
1/30/99,Keno,Klamath,M,2,C,,82,,,
1/31/99,Siuslaw,Lane,M,6,A,140,82,,,
2/1/99,Santiam,Linn,M,4,A,140,89,,,
2/3/99,Mt Emily,Union,M,0,A,27,46,,,
2/3/99,Mt Emily,Union,M,0,A,28,46,,,
2/3/99,Mt Emily,Union,F,8,A,96,76,,,
2/3/99,Lookout Mtn,Baker,M,2,A,134,81,,,
2/6/99,White River,Wasco,F,3,A,115,73,,,
2/7/99,Owyhee,Malheur,M,4,C,,87,,,
2/8/99,Melrose,Douglas,M,0,A,25,48,,,
2/8/99,Whitehorse,Malheur,F,2,C,,70,,,
2/9/99,Whitehorse,Malheur,M,3,C,,87,,,
2/9/99,Santiam,Clackamas,M,9,C,,95,,,
2/12/99,Malheur River,Malheur,F,2,A,138,82,,,
2/13/99,Silvies,Grant,M,2,A,114,80,,,
2/15/99,Hood,Hood River,M,2,A,127,74,,,
2/16/99,Siuslaw,Lane,F,0,A,35,56,,,
2/17/99,Murderers Creek,Grant,F,0,A,61,64,,,
2/17/99,Beulah,Malheur,M,4,A,135,87,,,
2/18/99,Whitehorse,Malheur,F,9,A,101,77,,,
2/20/99,Heppner,Morrow,M,8,A,135,84,,,
2/21/99,Lookout Mtn,Baker,F,0,A,48,59,,,
2/21/99,Murderers Creek,Grant,M,2,A,145,87,,,
2/22/99,White River,Wasco,M,0,A,40,54,,,
2/24/99,Interstate,Lake,M,1,A,77,70,,,
2/24/99,Keating,Baker,M,3,C,,81,,,
2/26/99,White River,Wasco,M,1,A,115,84,,,
2/28/99,Wenaha,Union,F,2,A,79,71,,,
3/1/99,White River,Wasco,M,1,A,95,88,,,
3/1/99,Santiam,Clackamas,M,2,C,,96,,,
3/4/99,Wenaha,Union,M,1,A,99,78,,,
3/4/99,White River,Wasco,F,7,A,108,82,,,
3/4/99,White River,Wasco,M,4,A,160,90,,,
3/6/99,Malheur River,Harney,M,0,A,55,65,,,
3/6/99,Sumpter,Baker,F,1,A,78,72,,,
3/8/99,Interstate,Klamath,F,2,A,55,73,,,
3/9/99,Interstate,Klamath,F,4,A,92,88,,,
3/11/99,White River,Wasco,F,0,A,60,60,,,
3/12/99,Melrose,Douglas,M,3,A,120,79,,,
3/14/99,Wagontire,Lake,M,12,A,125,83,,,
3/15/99,Interstate,Lake,M,0,A,46,54,,,
3/16/99,Melrose,Douglas,F,2,B,72,73,,,
3/16/99,Melrose,Douglas,M,3,A,130,85,,,
3/18/99,Catherine Creek,Union,M,0,A,43,56,,,
3/18/99,Melrose,Douglas,M,0,A,75,74,,,
3/22/99,Applegate,Jackson,M,3,A,138,84,,,
3/23/99,Melrose,Douglas,M,0,A,60,66,,,
3/23/99,Melrose,Douglas,M,1,A,62,70,,,
3/24/99,Melrose,Douglas,F,1,A,,62,,,
3/25/99,Keating,Baker,F,3,A,105,78,,,
3/30/99,Pine Creek,Baker,F,0,A,17,43,,,
4/1/99,Mt Emily,Umatilla,F,1,A,90,,,,
4/2/99,Mt Emily,Umatilla,M,0,A,,63,,,
4/5/99,Warner,Lake,M,5,A,132,87,,,
4/6/99,Melrose,Douglas,F,3,A,90,78,,,
4/10/99,White River,Wasco,M,0,A,65,70,,,
4/12/99,Mt Emily,Union,F,0,A,39,56,,,
4/14/99,Siuslaw,Douglas,F,1,A,82,75,,,
4/20/99,Whitehorse,Harney,M,4,A,90,85,,,
4/21/99,Melrose,Douglas,F,2,A,82,77,,,
4/21/99,Mt Emily,Umatilla,M,2,A,96,79,,,
4/27/99,Starkey,Union,F,0,A,33,59,,,
4/27/99,Catherine Creek,Union,F,1,A,59,62,,,
4/27/99,Indigo,Lane,F,1,A,95,72,,,
5/3/99,Siuslaw,Douglas,F,1,A,81,78,,,
5/4/99,Melrose,Douglas,M,0,A,45,65,,,
5/6/99,Biggs,Gilliam,M,1,A,100,78,,,
5/10/99,Siuslaw,Douglas,F,2,C,,81,,,
5/11/99,Melrose,Douglas,F,5,A,77,72,,,
5/12/99,Tioga,Douglas,F,2,C,,69,,,
5/15/99,Mt Emily,Umatilla,F,7,A,89,,,,
5/17/99,Mt Emily,Umatilla,M,4,A,100,,,,
5/18/99,Melrose,Douglas,M,0,A,93,78,,,
5/25/99,Melrose,Douglas,F,0,A,50,65,,,
5/26/99,Interstate,Lake,F,2,C,,69,,,
6/9/99,Mt Emily,Union,F,0,A,31,55,,,
6/17/99,Mt Emily,Umatilla,M,1,A,72,,,,
6/26/99,Starkey,Union,F,3,A,90,78,,,
7/16/99,White River,Wasco,F,3,A,115,79,,,
7/17/99,White River,Wasco,M,1,A,80,75,,,
7/22/99,Melrose,Douglas,M,1,A,82,69,,,
7/24/99,Melrose,Douglas,M,3,A,115,,,,
8/4/99,Siuslaw,Lane,M,1,A,64,68,,,
8/14/99,Klamath Falls,Klamath,M,8,A,106,83,,,
8/15/99,Dixon,Douglas,M,1,A,80,80,,,
8/21/99,Siuslaw,Lane,M,2,A,110,79,,,
8/22/99,Rogue,Jackson,F,1,A,63,71,,,
8/23/99,Sixes,Curry,M,1,A,135,,,,
8/25/99,White River,Wasco,M,3,A,120,81,,,
8/29/99,Walla Walla,Umatilla,F,2,A,105,68,,,
8/29/99,Murderers Creek,Grant,F,4,B,87,74,,,
8/29/99,Chetco,Curry,F,2,A,90,,,,
8/30/99,White River,Wasco,M,6,A,137,84,,,
9/1/99,Walla Walla,Umatilla,F,15,C,,84,,,
9/1/99,Chetco,Josephine,F,1,A,50,,,,
9/3/99,Keno,Klamath,F,1,C,,39,,,
